query_id,flight_id,tile_id,tile_size_m,coverage_ratio,valid_pixel_ratio,black_pixel_ratio,contains_query_center,soft_reason
q_003,DJI_202510311347_009_新建面状航线1,s500_x253630.070_y3364690.419,500.0,0.472837,0.317413,0.682587,0,low_valid_pixel_ratio
q_003,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,1.000000,0.012320,0.987680,1,low_valid_pixel_ratio
q_003,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3364678.442,500.0,0.425822,0.317377,0.682623,0,low_valid_pixel_ratio
q_003,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,1.000000,0.002708,0.997292,1,low_valid_pixel_ratio
q_003,DJI_202510311347_009_新建面状航线1,s500_x253769.267_y3364444.404,500.0,0.707388,0.469567,0.530433,1,low_valid_pixel_ratio
q_003,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,1.000000,0.096247,0.903753,1,low_valid_pixel_ratio
q_004,DJI_202510311347_009_新建面状航线1,s500_x254144.267_y3364069.404,500.0,0.691789,0.317082,0.682918,1,low_valid_pixel_ratio
q_004,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364169.404,700.0,1.000000,0.012321,0.987679,1,low_valid_pixel_ratio
q_004,DJI_202510311347_009_新建面状航线1,s500_x254130.470_y3363835.367,500.0,0.575869,0.154972,0.845028,1,low_valid_pixel_ratio
q_004,DJI_202510311347_009_新建面状航线1,s700_x254380.470_y3364085.367,700.0,1.000000,0.002706,0.997294,1,low_valid_pixel_ratio
q_004,DJI_202510311347_009_新建面状航线1,s500_x254283.525_y3363823.418,500.0,0.810777,0.469618,0.530382,1,low_valid_pixel_ratio
q_004,DJI_202510311347_009_新建面状航线1,s700_x254383.525_y3364073.418,700.0,1.000000,0.096265,0.903735,1,low_valid_pixel_ratio
q_005,DJI_202510311347_009_新建面状航线1,s500_x254144.267_y3364069.404,500.0,0.904036,0.317082,0.682918,1,low_valid_pixel_ratio
q_005,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364169.404,700.0,1.000000,0.012321,0.987679,1,low_valid_pixel_ratio
q_005,DJI_202510311347_009_新建面状航线1,s700_x254380.470_y3364085.367,700.0,1.000000,0.002706,0.997294,1,low_valid_pixel_ratio
q_005,DJI_202510311347_009_新建面状航线1,s700_x254383.525_y3364073.418,700.0,1.000000,0.096265,0.903735,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,0.953612,0.012320,0.987680,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3365315.419,700.0,0.727699,0.002705,0.997295,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s300_x253908.067_y3365028.442,300.0,0.887448,0.540460,0.459540,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s500_x253783.067_y3365053.442,500.0,0.875041,0.469565,0.530435,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3365053.442,500.0,0.566588,0.154943,0.845057,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s700_x253883.067_y3365303.442,700.0,0.774898,0.096244,0.903756,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,0.699917,0.002708,0.997292,1,low_valid_pixel_ratio
q_006,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,0.645775,0.096247,0.903753,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,1.000000,0.012320,0.987680,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s200_x254083.067_y3364828.442,200.0,0.481921,0.436418,0.563582,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s300_x254133.067_y3364803.442,300.0,0.590958,0.288747,0.711253,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3364678.442,500.0,0.788090,0.317377,0.682623,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3365053.442,500.0,0.562412,0.154943,0.845057,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,0.999882,0.002708,0.997292,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,1.000000,0.096247,0.903753,1,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.423040,0.002703,0.997297,0,low_valid_pixel_ratio
q_007,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.412090,0.096261,0.903739,0,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,0.949976,0.012320,0.987680,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s200_x254083.067_y3364678.442,200.0,0.513159,0.419418,0.580582,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s300_x254133.067_y3364578.442,300.0,0.529173,0.271206,0.728794,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s300_x254133.067_y3364803.442,300.0,0.634698,0.288747,0.711253,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3364678.442,500.0,0.997198,0.317377,0.682623,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3364778.442,700.0,0.617537,0.012302,0.987698,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,0.922450,0.002708,0.997292,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s500_x254144.267_y3364444.404,500.0,0.456855,0.154958,0.845042,0,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,0.928988,0.096247,0.903753,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.667387,0.002703,0.997297,1,low_valid_pixel_ratio
q_008,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.656458,0.096261,0.903739,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364169.404,700.0,0.989555,0.012321,0.987679,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s200_x254597.293_y3364057.454,200.0,0.494885,0.419433,0.580567,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s300_x254647.293_y3363957.454,300.0,0.661621,0.271209,0.728791,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s500_x254672.293_y3364057.454,500.0,0.969806,0.317046,0.682954,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s700_x254922.293_y3364157.454,700.0,0.507292,0.012303,0.987697,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s700_x254380.470_y3364085.367,700.0,0.975248,0.002706,0.997294,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s500_x254658.525_y3363823.418,500.0,0.760400,0.154963,0.845037,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s700_x254383.525_y3364073.418,700.0,0.978940,0.096265,0.903735,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s700_x254908.525_y3364073.418,700.0,0.556703,0.002701,0.997299,1,low_valid_pixel_ratio
q_009,DJI_202510311347_009_新建面状航线1,s700_x254911.579_y3364061.495,700.0,0.545742,0.096279,0.903721,1,low_valid_pixel_ratio
q_010,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364169.404,700.0,1.000000,0.012321,0.987679,1,low_valid_pixel_ratio
q_010,DJI_202510311347_009_新建面状航线1,s300_x254422.293_y3364407.454,300.0,0.459202,0.540519,0.459481,1,low_valid_pixel_ratio
q_010,DJI_202510311347_009_新建面状航线1,s500_x254297.293_y3364432.454,500.0,0.688105,0.469614,0.530386,1,low_valid_pixel_ratio
q_010,DJI_202510311347_009_新建面状航线1,s500_x254672.293_y3364432.454,500.0,0.518367,0.154947,0.845053,1,low_valid_pixel_ratio
q_010,DJI_202510311347_009_新建面状航线1,s700_x254380.470_y3364085.367,700.0,0.999942,0.002706,0.997294,1,low_valid_pixel_ratio
q_010,DJI_202510311347_009_新建面状航线1,s700_x254383.525_y3364073.418,700.0,0.996942,0.096265,0.903735,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,0.684439,0.012320,0.987680,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s300_x254133.067_y3364803.442,300.0,0.788334,0.288747,0.711253,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3364678.442,500.0,0.997042,0.317377,0.682623,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3364778.442,700.0,0.910582,0.012302,0.987698,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,0.634765,0.002708,0.997292,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,0.645636,0.096247,0.903753,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.940485,0.002703,0.997297,1,low_valid_pixel_ratio
q_011,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.934448,0.096261,0.903739,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s300_x254146.869_y3365187.480,300.0,0.415714,0.271161,0.728839,0,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s500_x254171.869_y3365287.480,500.0,0.441894,0.317352,0.682648,0,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,0.712249,0.012320,0.987680,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3365315.419,700.0,0.543577,0.002705,0.997295,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s200_x254083.067_y3364978.442,200.0,0.451825,0.359875,0.640125,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s300_x254133.067_y3365028.442,300.0,0.882358,0.159648,0.840352,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3365053.442,500.0,1.000000,0.154943,0.845057,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x253883.067_y3365303.442,700.0,0.587803,0.096244,0.903756,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3364778.442,700.0,0.765595,0.012302,0.987698,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3365303.442,700.0,0.694006,0.002701,0.997299,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s300_x254211.063_y3365016.491,300.0,0.819066,0.535035,0.464965,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s500_x254311.063_y3365041.491,500.0,0.851037,0.469611,0.530389,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x254411.063_y3365291.491,700.0,0.720086,0.096258,0.903742,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,0.483021,0.002708,0.997292,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,0.448067,0.096247,0.903753,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.521461,0.002703,0.997297,1,low_valid_pixel_ratio
q_012,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.470242,0.096261,0.903739,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,0.405015,0.012320,0.987680,0,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s300_x254133.067_y3364803.442,300.0,0.578479,0.288747,0.711253,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3364678.442,500.0,0.830382,0.317377,0.682623,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3365053.442,500.0,0.655117,0.154943,0.845057,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3364778.442,700.0,1.000000,0.012302,0.987698,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s500_x254311.063_y3365041.491,500.0,0.734763,0.469611,0.530389,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,1.000000,0.002703,0.997297,1,low_valid_pixel_ratio
q_013,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,1.000000,0.096261,0.903739,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364169.404,700.0,0.981172,0.012321,0.987679,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.640398,0.002703,0.997297,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s300_x254422.293_y3364407.454,300.0,0.683379,0.540519,0.459481,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s300_x254647.293_y3364407.454,300.0,0.516233,0.159651,0.840349,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s500_x254297.293_y3364432.454,500.0,0.658186,0.469614,0.530386,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s500_x254672.293_y3364432.454,500.0,0.793827,0.154947,0.845053,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.694911,0.096261,0.903739,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s700_x254380.470_y3364085.367,700.0,0.779113,0.002706,0.997294,1,low_valid_pixel_ratio
q_014,DJI_202510311347_009_新建面状航线1,s700_x254383.525_y3364073.418,700.0,0.732400,0.096265,0.903735,1,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s300_x254647.293_y3363957.454,300.0,0.437745,0.271209,0.728791,0,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s500_x254672.293_y3364057.454,500.0,0.895787,0.317046,0.682954,1,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s700_x254922.293_y3364157.454,700.0,1.000000,0.012303,0.987697,1,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s500_x254658.525_y3363823.418,500.0,0.622940,0.154963,0.845037,1,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s700_x254908.525_y3364073.418,700.0,1.000000,0.002701,0.997299,1,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s500_x254811.579_y3363811.495,500.0,0.680846,0.469664,0.530336,1,low_valid_pixel_ratio
q_015,DJI_202510311347_009_新建面状航线1,s700_x254911.579_y3364061.495,700.0,1.000000,0.096279,0.903721,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364169.404,700.0,0.736086,0.012321,0.987679,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s200_x254597.293_y3364207.454,200.0,0.421291,0.436333,0.563667,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s300_x254647.293_y3364182.454,300.0,0.700137,0.288736,0.711264,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s300_x254647.293_y3364407.454,300.0,0.491935,0.159651,0.840349,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s500_x254672.293_y3364057.454,500.0,0.687600,0.317046,0.682954,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s500_x254672.293_y3364432.454,500.0,0.859028,0.154947,0.845053,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s700_x254922.293_y3364157.454,700.0,0.873540,0.012303,0.987697,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s300_x254725.317_y3364395.530,300.0,0.523800,0.535115,0.464885,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s500_x254825.317_y3364420.530,500.0,0.764150,0.469659,0.530341,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s700_x254380.470_y3364085.367,700.0,0.686432,0.002706,0.997294,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s700_x254383.525_y3364073.418,700.0,0.696321,0.096265,0.903735,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s700_x254908.525_y3364073.418,700.0,0.900077,0.002701,0.997299,1,low_valid_pixel_ratio
q_016,DJI_202510311347_009_新建面状航线1,s700_x254911.579_y3364061.495,700.0,0.881131,0.096279,0.903721,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s500_x254171.869_y3365287.480,500.0,0.783833,0.317352,0.682648,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s700_x254421.869_y3365387.480,700.0,0.945797,0.012281,0.987719,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3365053.442,500.0,0.775122,0.154943,0.845057,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3365303.442,700.0,1.000000,0.002701,0.997299,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s200_x254311.063_y3365116.491,200.0,0.496037,0.076381,0.923619,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s500_x254311.063_y3365041.491,500.0,0.963191,0.469611,0.530389,1,low_valid_pixel_ratio
q_017,DJI_202510311347_009_新建面状航线1,s700_x254411.063_y3365291.491,700.0,1.000000,0.096258,0.903742,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s500_x254158.067_y3365053.442,500.0,0.439529,0.154943,0.845057,0,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3364778.442,700.0,0.987729,0.012302,0.987698,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3365303.442,700.0,0.608266,0.002701,0.997299,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s300_x254436.063_y3365016.491,300.0,0.850262,0.540519,0.459481,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s500_x254311.063_y3365041.491,500.0,0.944741,0.469611,0.530389,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s500_x254686.063_y3365041.491,500.0,0.458201,0.154935,0.845065,0,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s700_x254411.063_y3365291.491,700.0,0.665011,0.096258,0.903742,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.803265,0.002703,0.997297,1,low_valid_pixel_ratio
q_018,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.759049,0.096261,0.903739,1,low_valid_pixel_ratio
q_019,DJI_202510311347_009_新建面状航线1,s700_x254408.067_y3364778.442,700.0,1.000000,0.012302,0.987698,1,low_valid_pixel_ratio
q_019,DJI_202510311347_009_新建面状航线1,s500_x254311.063_y3365041.491,500.0,0.554889,0.469611,0.530389,1,low_valid_pixel_ratio
q_019,DJI_202510311347_009_新建面状航线1,s500_x254686.063_y3364666.491,500.0,0.496031,0.317342,0.682658,1,low_valid_pixel_ratio
q_019,DJI_202510311347_009_新建面状航线1,s500_x254686.063_y3365041.491,500.0,0.564783,0.154935,0.845065,1,low_valid_pixel_ratio
q_019,DJI_202510311347_009_新建面状航线1,s700_x254394.267_y3364694.404,700.0,1.000000,0.002703,0.997297,1,low_valid_pixel_ratio
q_019,DJI_202510311347_009_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.999941,0.096261,0.903739,1,low_valid_pixel_ratio
q_020,DJI_202510311347_009_新建面状航线1,s700_x254922.293_y3364157.454,700.0,1.000000,0.012303,0.987697,1,low_valid_pixel_ratio
q_020,DJI_202510311347_009_新建面状航线1,s300_x255175.317_y3364170.530,300.0,0.407662,0.288674,0.711326,0,low_valid_pixel_ratio
q_020,DJI_202510311347_009_新建面状航线1,s500_x255200.317_y3364045.530,500.0,0.707268,0.317006,0.682994,1,low_valid_pixel_ratio
q_020,DJI_202510311347_009_新建面状航线1,s700_x254908.525_y3364073.418,700.0,1.000000,0.002701,0.997299,1,low_valid_pixel_ratio
q_020,DJI_202510311347_009_新建面状航线1,s700_x254911.579_y3364061.495,700.0,1.000000,0.096279,0.903721,1,low_valid_pixel_ratio
q_021,DJI_202510311413_010_新建面状航线1,s700_x254922.293_y3364157.454,700.0,1.000000,0.012303,0.987697,1,low_valid_pixel_ratio
q_021,DJI_202510311413_010_新建面状航线1,s500_x255200.317_y3364045.530,500.0,0.638251,0.317006,0.682994,1,low_valid_pixel_ratio
q_021,DJI_202510311413_010_新建面状航线1,s700_x254908.525_y3364073.418,700.0,1.000000,0.002701,0.997299,1,low_valid_pixel_ratio
q_021,DJI_202510311413_010_新建面状航线1,s700_x254911.579_y3364061.495,700.0,1.000000,0.096279,0.903721,1,low_valid_pixel_ratio
q_022,DJI_202510311413_010_新建面状航线1,s700_x254922.293_y3364157.454,700.0,1.000000,0.012303,0.987697,1,low_valid_pixel_ratio
q_022,DJI_202510311413_010_新建面状航线1,s500_x254825.317_y3364420.530,500.0,0.586499,0.469659,0.530341,1,low_valid_pixel_ratio
q_022,DJI_202510311413_010_新建面状航线1,s500_x255200.317_y3364045.530,500.0,0.407139,0.317006,0.682994,1,low_valid_pixel_ratio
q_022,DJI_202510311413_010_新建面状航线1,s700_x254908.525_y3364073.418,700.0,1.000000,0.002701,0.997299,1,low_valid_pixel_ratio
q_022,DJI_202510311413_010_新建面状航线1,s700_x254911.579_y3364061.495,700.0,1.000000,0.096279,0.903721,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s500_x254672.293_y3364432.454,500.0,0.604526,0.154947,0.845053,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s700_x254922.293_y3364157.454,700.0,1.000000,0.012303,0.987697,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s700_x254922.293_y3364682.454,700.0,0.465768,0.002699,0.997301,0,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s300_x254950.317_y3364395.530,300.0,0.683987,0.540577,0.459423,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s500_x254825.317_y3364420.530,500.0,0.989332,0.469659,0.530341,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s700_x254925.317_y3364670.530,700.0,0.522938,0.096275,0.903725,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s700_x254908.525_y3364073.418,700.0,0.894348,0.002701,0.997299,1,low_valid_pixel_ratio
q_023,DJI_202510311413_010_新建面状航线1,s700_x254911.579_y3364061.495,700.0,0.861154,0.096279,0.903721,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s700_x254408.067_y3364778.442,700.0,0.510720,0.012302,0.987698,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s300_x254661.063_y3364566.491,300.0,0.696396,0.271165,0.728835,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s500_x254686.063_y3364666.491,500.0,0.994410,0.317342,0.682658,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s700_x254936.063_y3364766.491,700.0,0.982459,0.012284,0.987716,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s700_x254394.267_y3364694.404,700.0,0.472299,0.002703,0.997297,0,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s500_x254672.293_y3364432.454,500.0,0.890435,0.154947,0.845053,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s700_x254397.293_y3364682.454,700.0,0.483196,0.096261,0.903739,0,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s700_x254922.293_y3364682.454,700.0,0.995910,0.002699,0.997301,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s500_x254825.317_y3364420.530,500.0,0.862731,0.469659,0.530341,1,low_valid_pixel_ratio
q_024,DJI_202510311413_010_新建面状航线1,s700_x254925.317_y3364670.530,700.0,0.994226,0.096275,0.903725,1,low_valid_pixel_ratio
q_025,DJI_202510311413_010_新建面状航线1,s700_x254421.869_y3365387.480,700.0,1.000000,0.012281,0.987719,1,low_valid_pixel_ratio
