query_id,flight_id,image_name,query_image_path,query_x,query_y,query_crs,coverage_threshold,footprint_core_ratio,min_valid_ratio,footprint_area_m2,truth_count_total,strict_truth_count_total,soft_truth_count_total,truth_count_200m,strict_truth_count_200m,soft_truth_count_200m,truth_count_300m,strict_truth_count_300m,soft_truth_count_300m,truth_count_500m,strict_truth_count_500m,soft_truth_count_500m,truth_count_700m,strict_truth_count_700m,soft_truth_count_700m
q_013,DJI_202510311347_009_新建面状航线1,DJI_20251031140335_0246_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140335_0246_V.JPG,254256.356,3364841.964,EPSG:32650,0.40,0.60,0.60,75049.838,5,5,0,1,1,0,1,1,0,2,2,0,1,1,0
q_014,DJI_202510311347_009_新建面状航线1,DJI_20251031140411_0267_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140411_0267_V.JPG,254503.617,3364373.491,EPSG:32650,0.40,0.60,0.60,75038.953,8,8,0,1,1,0,2,2,0,3,3,0,2,2,0
q_015,DJI_202510311347_009_新建面状航线1,DJI_20251031140559_0296_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140559_0296_V.JPG,254807.531,3364023.529,EPSG:32650,0.40,0.60,0.60,75042.178,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0
q_016,DJI_202510311347_009_新建面状航线1,DJI_20251031140618_0304_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140618_0304_V.JPG,254678.598,3364268.013,EPSG:32650,0.40,0.60,0.60,75039.759,6,6,0,2,2,0,1,1,0,2,2,0,1,1,0
q_017,DJI_202510311347_009_新建面状航线1,DJI_20251031140841_0354_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,254327.710,3365159.289,EPSG:32650,0.40,0.60,0.60,75039.355,4,4,0,1,1,0,2,2,0,0,0,0,1,1,0
q_018,DJI_202510311347_009_新建面状航线1,DJI_20251031140856_0360_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140856_0360_V.JPG,254424.572,3364975.852,EPSG:32650,0.40,0.60,0.60,75038.953,5,5,0,1,1,0,1,1,0,1,1,0,2,2,0
q_019,DJI_202510311347_009_新建面状航线1,DJI_20251031140905_0364_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140905_0364_V.JPG,254489.011,3364853.815,EPSG:32650,0.40,0.60,0.60,75046.612,7,7,0,1,1,0,2,2,0,2,2,0,2,2,0
q_020,DJI_202510311347_009_新建面状航线1,DJI_20251031141125_0412_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,255007.953,3364096.456,EPSG:32650,0.40,0.60,0.60,75040.968,5,5,0,1,1,0,2,2,0,1,1,0,1,1,0
q_021,DJI_202510311413_010_新建面状航线1,DJI_20251031141624_0001_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,254989.977,3364130.696,EPSG:32650,0.40,0.60,0.60,75045.000,6,6,0,2,2,0,2,2,0,1,1,0,1,1,0
q_022,DJI_202510311413_010_新建面状航线1,DJI_20251031141633_0005_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141633_0005_V.JPG,254951.869,3364202.599,EPSG:32650,0.40,0.60,0.60,75032.099,5,5,0,1,1,0,2,2,0,1,1,0,1,1,0
q_023,DJI_202510311413_010_新建面状航线1,DJI_20251031141642_0009_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141642_0009_V.JPG,254887.153,3364325.334,EPSG:32650,0.40,0.60,0.60,75047.822,6,6,0,2,2,0,1,1,0,2,2,0,1,1,0
q_024,DJI_202510311413_010_新建面状航线1,DJI_20251031141701_0019_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141701_0019_V.JPG,254751.890,3364581.740,EPSG:32650,0.40,0.60,0.60,75049.435,5,5,0,0,0,0,2,2,0,1,1,0,2,2,0
q_025,DJI_202510311413_010_新建面状航线1,DJI_20251031141907_0057_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141907_0057_V.JPG,254528.976,3365230.795,EPSG:32650,0.40,0.60,0.60,75057.498,5,5,0,1,1,0,2,2,0,0,0,0,2,2,0
q_026,DJI_202510311413_010_新建面状航线1,DJI_20251031141917_0061_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141917_0061_V.JPG,254593.821,3365108.069,EPSG:32650,0.40,0.60,0.60,75053.063,8,8,0,2,2,0,2,2,0,2,2,0,2,2,0
q_027,DJI_202510311413_010_新建面状航线1,DJI_20251031141930_0067_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141930_0067_V.JPG,254690.710,3364924.368,EPSG:32650,0.40,0.60,0.60,75081.289,5,5,0,1,1,0,2,2,0,1,1,0,1,1,0
q_028,DJI_202510311413_010_新建面状航线1,DJI_20251031141957_0083_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141957_0083_V.JPG,254877.954,3364569.618,EPSG:32650,0.40,0.60,0.60,75042.581,5,5,0,1,1,0,1,1,0,1,1,0,2,2,0
q_029,DJI_202510311413_010_新建面状航线1,DJI_20251031142154_0116_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142154_0116_V.JPG,255176.869,3364229.102,EPSG:32650,0.40,0.60,0.60,75030.487,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0
q_030,DJI_202510311413_010_新建面状航线1,DJI_20251031142204_0120_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142204_0120_V.JPG,255112.199,3364351.522,EPSG:32650,0.40,0.60,0.60,75042.984,3,3,0,1,1,0,1,1,0,0,0,0,1,1,0
q_031,DJI_202510311413_010_新建面状航线1,DJI_20251031142213_0124_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142213_0124_V.JPG,255047.702,3364473.966,EPSG:32650,0.40,0.60,0.60,75045.403,5,5,0,2,2,0,2,2,0,0,0,0,1,1,0
q_032,DJI_202510311413_010_新建面状航线1,DJI_20251031142300_0152_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142300_0152_V.JPG,254718.291,3365097.841,EPSG:32650,0.40,0.60,0.60,75040.968,5,5,0,1,1,0,2,2,0,1,1,0,1,1,0
q_033,DJI_202510311413_010_新建面状航线1,DJI_20251031142437_0174_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142437_0174_V.JPG,254761.974,3365242.027,EPSG:32650,0.40,0.60,0.60,75044.194,5,5,0,2,2,0,2,2,0,0,0,0,1,1,0
q_034,DJI_202510311413_010_新建面状航线1,DJI_20251031142451_0180_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142451_0180_V.JPG,254859.058,3365058.014,EPSG:32650,0.40,0.60,0.60,75053.467,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0
q_035,DJI_202510311413_010_新建面状航线1,DJI_20251031142456_0183_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142456_0183_V.JPG,254894.232,3364991.399,EPSG:32650,0.40,0.60,0.60,75049.031,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0
q_036,DJI_202510311413_010_新建面状航线1,DJI_20251031142538_0208_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142538_0208_V.JPG,255188.237,3364434.296,EPSG:32650,0.40,0.60,0.60,75043.790,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0
q_037,DJI_202510311413_010_新建面状航线1,DJI_20251031142552_0214_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142552_0214_V.JPG,255285.290,3364250.320,EPSG:32650,0.40,0.60,0.60,75047.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q_038,DJI_202510311413_010_新建面状航线1,DJI_20251031142742_0235_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142742_0235_V.JPG,255157.614,3364718.294,EPSG:32650,0.40,0.60,0.60,75045.806,3,3,0,1,1,0,1,1,0,0,0,0,1,1,0
q_039,DJI_202510311413_010_新建面状航线1,DJI_20251031142806_0248_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142806_0248_V.JPG,254986.757,3365042.070,EPSG:32650,0.40,0.60,0.60,75040.162,5,5,0,1,1,0,2,2,0,1,1,0,1,1,0
q_040,DJI_202510311413_010_新建面状航线1,DJI_20251031142830_0259_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142830_0259_V.JPG,254822.004,3365354.074,EPSG:32650,0.40,0.60,0.60,75043.387,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
