query_id,flight_id,image_name,query_image_path,query_x,query_y,query_crs,truth_radius_m,truth_count_total,truth_count_80m,truth_count_120m,truth_count_200m
q_011,DJI_202510311413_010_新建面状航线1,DJI_20251031141624_0001_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,254989.977,3364130.696,EPSG:32650,50.0,22,9,9,4
q_012,DJI_202510311413_010_新建面状航线1,DJI_20251031141629_0004_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031141629_0004_V.JPG,254974.784,3364159.340,EPSG:32650,50.0,16,9,4,3
q_013,DJI_202510311413_010_新建面状航线1,DJI_20251031142002_0086_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142002_0086_V.JPG,254913.927,3364501.354,EPSG:32650,50.0,23,12,7,4
q_014,DJI_202510311413_010_新建面状航线1,DJI_20251031142134_0111_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142134_0111_V.JPG,255320.921,3363956.125,EPSG:32650,50.0,19,9,4,6
q_015,DJI_202510311413_010_新建面状航线1,DJI_20251031142446_0178_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142446_0178_V.JPG,254826.586,3365119.640,EPSG:32650,50.0,23,11,6,6
q_016,DJI_202510311413_010_新建面状航线1,DJI_20251031142616_0221_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142616_0221_V.JPG,255457.334,3363924.407,EPSG:32650,50.0,20,8,6,6
q_017,DJI_202510311413_010_新建面状航线1,DJI_20251031142830_0259_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142830_0259_V.JPG,254822.004,3365354.074,EPSG:32650,50.0,19,9,6,4
q_018,DJI_202510311413_010_新建面状航线1,DJI_20251031143141_0283_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143141_0283_V.JPG,253375.201,3364627.490,EPSG:32650,50.0,18,8,4,6
q_019,DJI_202510311413_010_新建面状航线1,DJI_20251031143227_0292_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143227_0292_V.JPG,253992.824,3364950.167,EPSG:32650,50.0,19,9,6,4
q_020,DJI_202510311413_010_新建面状航线1,DJI_20251031143314_0307_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,254601.895,3365268.297,EPSG:32650,50.0,26,11,10,5
q_021,DJI_202510311435_011_新建面状航线1,DJI_20251031143818_0001_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,254640.463,3365288.080,EPSG:32650,50.0,22,12,6,4
q_022,DJI_202510311435_011_新建面状航线1,DJI_20251031143823_0002_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143823_0002_V.JPG,254668.038,3365302.673,EPSG:32650,50.0,24,12,8,4
q_023,DJI_202510311435_011_新建面状航线1,DJI_20251031143829_0003_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143829_0003_V.JPG,254730.554,3365335.524,EPSG:32650,50.0,24,10,8,6
q_024,DJI_202510311435_011_新建面状航线1,DJI_20251031143834_0004_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143834_0004_V.JPG,254800.172,3365371.751,EPSG:32650,50.0,16,8,4,4
q_025,DJI_202510311435_011_新建面状航线1,DJI_20251031143839_0005_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143839_0005_V.JPG,254869.693,3365408.095,EPSG:32650,50.0,16,9,4,3
q_026,DJI_202510311435_011_新建面状航线1,DJI_20251031143905_0010_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143905_0010_V.JPG,255216.511,3365589.331,EPSG:32650,50.0,33,15,12,6
q_027,DJI_202510311435_011_新建面状航线1,DJI_20251031144517_0086_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144517_0086_V.JPG,254809.215,3365019.503,EPSG:32650,50.0,22,9,7,6
q_028,DJI_202510311435_011_新建面状航线1,DJI_20251031145140_0172_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145140_0172_V.JPG,253939.735,3364327.659,EPSG:32650,50.0,21,8,9,4
q_029,DJI_202510311435_011_新建面状航线1,DJI_20251031145456_0210_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145456_0210_V.JPG,255528.858,3364920.018,EPSG:32650,50.0,20,9,7,4
q_030,DJI_202510311435_011_新建面状航线1,DJI_20251031145833_0257_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,254596.839,3364314.491,EPSG:32650,50.0,27,13,9,5
q_031,DJI_202510311500_012_新建面状航线1,DJI_20251031150300_0001_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150300_0001_V.JPG,254620.748,3364326.984,EPSG:32650,50.0,26,12,10,4
q_032,DJI_202510311500_012_新建面状航线1,DJI_20251031150301_0002_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,254625.012,3364329.258,EPSG:32650,50.0,26,12,10,4
q_033,DJI_202510311500_012_新建面状航线1,DJI_20251031150305_0003_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,254654.923,3364344.847,EPSG:32650,50.0,25,13,8,4
q_034,DJI_202510311500_012_新建面状航线1,DJI_20251031150306_0004_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150306_0004_V.JPG,254664.619,3364349.982,EPSG:32650,50.0,23,11,8,4
q_035,DJI_202510311500_012_新建面状航线1,DJI_20251031150310_0005_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150310_0005_V.JPG,254718.322,3364378.074,EPSG:32650,50.0,31,11,11,9
q_036,DJI_202510311500_012_新建面状航线1,DJI_20251031150413_0020_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150413_0020_V.JPG,255560.737,3364818.142,EPSG:32650,50.0,18,8,6,4
q_037,DJI_202510311500_012_新建面状航线1,DJI_20251031150549_0040_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150549_0040_V.JPG,254584.491,3364188.860,EPSG:32650,50.0,23,11,6,6
q_038,DJI_202510311500_012_新建面状航线1,DJI_20251031150736_0060_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150736_0060_V.JPG,254265.115,3363903.485,EPSG:32650,50.0,22,12,6,4
q_039,DJI_202510311500_012_新建面状航线1,DJI_20251031150842_0078_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150842_0078_V.JPG,255156.138,3364369.020,EPSG:32650,50.0,33,16,11,6
q_040,DJI_202510311500_012_新建面状航线1,DJI_20251031151150_0117_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,253911.776,3363599.660,EPSG:32650,50.0,18,9,6,3
