query_id,flight_id,image_name,query_image_path,latitude,longitude,absolute_altitude,relative_altitude,gimbal_yaw_degree,gimbal_pitch_degree,gimbal_roll_degree,flight_pitch_degree,calibrated_focal_length_px,optical_center_x,optical_center_y,image_width_px,image_height_px,query_x,query_y,query_crs,footprint_area_m2,footprint_core_ratio,footprint_polygon_xy
q_011,DJI_202510311413_010_新建面状航线1,DJI_20251031141624_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0002_V.JPG,30.384317760,114.450188298,391.439,372.257,-28.40,-45.00,0.00,-9.00,3725.151611,2640.000,1978.000,5280,3956,254989.887,3364130.771,EPSG:32650,1143983.584,1.00,"[[253712.19, 3364821.318], [255111.417, 3365577.878], [255149.929, 3364347.045], [254721.203, 3364115.234]]"
q_012,DJI_202510311413_010_新建面状航线1,DJI_20251031141629_0004_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141629_0004_V.JPG,30.384572244,114.450024562,391.437,372.273,-28.60,-44.90,0.00,-20.40,3725.151611,2640.000,1978.000,5280,3956,254974.784,3364159.340,EPSG:32650,1156452.572,1.00,"[[253686.98, 3364849.957], [255091.623, 3365615.793], [255133.851, 3364376.868], [254705.689, 3364143.426]]"
q_013,DJI_202510311413_010_新建面状航线1,DJI_20251031141846_0053_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141846_0053_V.JPG,30.396649964,114.443525145,391.468,372.288,151.00,-45.00,0.00,-15.90,3725.151611,2640.000,1978.000,5280,3956,254380.302,3365512.475,EPSG:32650,1144174.125,1.00,"[[255665.268, 3364835.289], [254273.924, 3364064.055], [254222.521, 3365294.518], [254648.832, 3365530.826]]"
q_014,DJI_202510311413_010_新建面状航线1,DJI_20251031142032_0101_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142032_0101_V.JPG,30.384161042,114.451548535,391.486,372.287,-28.90,-45.10,180.00,-12.70,3725.151611,2640.000,1978.000,5280,3956,255120.243,3364110.452,EPSG:32650,1132009.768,1.00,"[[253844.049, 3364785.463], [255228.845, 3365549.911], [255278.633, 3364327.447], [254852.14, 3364092.01]]"
q_015,DJI_202510311413_010_新建面状航线1,DJI_20251031142344_0165_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142344_0165_V.JPG,30.398211545,114.443777597,391.462,372.283,151.70,-45.10,180.00,-20.40,3725.151611,2640.000,1978.000,5280,3956,254408.476,3365685.058,EPSG:32650,1131985.442,1.00,"[[255677.518, 3364996.728], [254284.808, 3364246.83], [254247.824, 3365469.735], [254676.755, 3365700.691]]"
q_016,DJI_202510311413_010_新建面状航线1,DJI_20251031142401_0166_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142401_0166_V.JPG,30.398509841,114.444845770,391.499,372.313,150.90,-44.90,0.00,-11.30,3725.151611,2640.000,1978.000,5280,3956,254511.882,3365715.811,EPSG:32650,1156701.103,1.00,"[[255805.803, 3365036.385], [254407.747, 3364258.238], [254354.703, 3365496.88], [254780.858, 3365734.074]]"
q_017,DJI_202510311413_010_新建面状航线1,DJI_20251031142656_0223_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142656_0223_V.JPG,30.384281561,114.455242074,391.428,372.255,-28.60,-44.90,0.00,-16.70,3725.151611,2640.000,1978.000,5280,3956,255475.569,3364115.827,EPSG:32650,1156340.742,1.00,"[[254187.827, 3364806.411], [255592.402, 3365572.209], [255634.628, 3364333.344], [255206.486, 3364099.914]]"
q_018,DJI_202510311413_010_新建面状航线1,DJI_20251031143021_0273_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143021_0273_V.JPG,30.393421037,114.441382672,391.468,372.285,-118.40,-45.00,0.00,-11.20,3725.151611,2640.000,1978.000,5280,3956,254166.298,3365159.140,EPSG:32650,1144155.685,1.00,"[[253475.699, 3363881.347], [252719.083, 3365280.679], [253950.007, 3365319.194], [254181.836, 3364890.436]]"
q_019,DJI_202510311413_010_新建面状航线1,DJI_20251031143308_0306_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143308_0306_V.JPG,30.394151617,114.445171772,391.466,372.247,-119.20,-45.00,180.00,-17.50,3725.151611,2640.000,1978.000,5280,3956,254532.304,3365231.912,EPSG:32650,1143922.123,1.00,"[[253859.682, 3363944.732], [253083.681, 3365333.222], [254313.823, 3365388.914], [254551.591, 3364963.477]]"
q_020,DJI_202510311413_010_新建面状航线1,DJI_20251031143314_0307_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,30.394493797,114.445886924,391.429,372.246,-118.90,-45.10,180.00,-21.80,3725.151611,2640.000,1978.000,5280,3956,254601.895,3365268.297,EPSG:32650,1131760.445,1.00,"[[253926.958, 3363992.244], [253162.594, 3365376.887], [254384.923, 3365426.67], [254620.335, 3365000.224]]"
q_021,DJI_202510311435_011_新建面状航线1,DJI_20251031143818_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,30.394679984,114.446283372,391.582,372.341,-121.00,-48.70,180.00,-6.00,3725.151611,2640.000,1978.000,5280,3956,254640.463,3365288.080,EPSG:32650,803804.912,1.00,"[[254136.353, 3364217.123], [253458.327, 3365345.546], [254441.424, 3365447.85], [254688.135, 3365037.254]]"
q_022,DJI_202510311435_011_新建面状航线1,DJI_20251031143923_0011_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,30.396705099,114.452788577,391.527,372.265,-118.70,-44.90,0.00,-16.40,3725.151611,2640.000,1978.000,5280,3956,255270.736,3365498.511,EPSG:32650,1156402.870,1.00,"[[254582.383, 3364209.531], [253814.113, 3365612.805], [255052.936, 3365657.194], [255287.119, 3365229.449]]"
q_023,DJI_202510311435_011_新建面状航线1,DJI_20251031144132_0042_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,30.388302394,114.435214044,391.501,372.021,61.40,-45.10,180.00,-16.60,3725.151611,2640.000,1978.000,5280,3956,253560.557,3364605.060,EPSG:32650,1130392.698,1.00,"[[254241.754, 3365876.793], [254998.4, 3364489.006], [253776.566, 3364445.65], [253543.531, 3364873.065]]"
q_024,DJI_202510311435_011_新建面状航线1,DJI_20251031144539_0092_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,30.390884028,114.445153468,391.485,372.023,61.40,-45.10,180.00,-18.60,3725.151611,2640.000,1978.000,5280,3956,254522.367,3364869.677,EPSG:32650,1130404.852,1.00,"[[255203.567, 3366141.417], [255960.218, 3364753.622], [254738.377, 3364710.266], [254505.341, 3365137.683]]"
q_025,DJI_202510311435_011_新建面状航线1,DJI_20251031144721_0113_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,30.385768287,114.436716196,391.516,372.038,61.00,-44.90,0.00,-14.90,3725.151611,2640.000,1978.000,5280,3956,253698.578,3364320.835,EPSG:32650,1154992.995,1.00,"[[254379.757, 3365612.613], [255154.891, 3364214.235], [253917.073, 3364163.39], [253680.797, 3364589.643]]"
q_026,DJI_202510311435_011_新建面状航线1,DJI_20251031144854_0137_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,30.391824672,114.449384185,391.499,372.031,-119.00,-45.00,180.00,-15.00,3725.151611,2640.000,1978.000,5280,3956,254931.350,3364964.794,EPSG:32650,1142594.964,1.00,"[[254254.632, 3363680.716], [253483.93, 3365071.099], [254713.544, 3365122.466], [254949.689, 3364696.45]]"
q_027,DJI_202510311435_011_新建面状航线1,DJI_20251031145237_0180_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,30.384437535,114.438471762,391.490,372.025,60.90,-45.00,0.00,-14.90,3725.151611,2640.000,1978.000,5280,3956,253863.984,3364169.476,EPSG:32650,1142558.110,1.00,"[[254538.449, 3365454.713], [255311.564, 3364065.699], [254082.061, 3364012.187], [253845.177, 3364437.783]]"
q_028,DJI_202510311435_011_新建面状航线1,DJI_20251031145538_0218_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,30.388844617,114.449964623,391.464,372.018,-118.40,-44.90,0.00,-17.50,3725.151611,2640.000,1978.000,5280,3956,254979.694,3364633.142,EPSG:32650,1154868.818,1.00,"[[254285.062, 3363348.637], [253524.655, 3364754.98], [254762.871, 3364792.858], [254994.658, 3364364.177]]"
q_029,DJI_202510311435_011_新建面状航线1,DJI_20251031145828_0255_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,30.385558803,114.445356609,391.496,372.017,-119.10,-45.10,180.00,-16.10,3725.151611,2640.000,1978.000,5280,3956,254528.567,3364278.835,EPSG:32650,1130368.390,1.00,"[[253858.501, 3363001.22], [253089.781, 3364382.337], [254311.177, 3364436.353], [254547.93, 3364010.992]]"
q_030,DJI_202510311435_011_新建面状航线1,DJI_20251031145833_0257_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,30.385894136,114.446058166,391.498,372.022,-119.20,-45.00,180.00,-14.70,3725.151611,2640.000,1978.000,5280,3956,254596.839,3364314.491,EPSG:32650,1142539.683,1.00,"[[253924.623, 3363028.09], [253149.091, 3364415.741], [254378.489, 3364471.399], [254616.114, 3364046.219]]"
q_031,DJI_202510311500_012_新建面状航线1,DJI_20251031150301_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,30.386032989,114.446347659,391.467,372.268,-119.10,-45.10,180.00,-18.10,3725.151611,2640.000,1978.000,5280,3956,254625.012,3364329.258,EPSG:32650,1131894.224,1.00,"[[253954.494, 3363050.781], [253185.256, 3364432.83], [254407.476, 3364486.882], [254644.389, 3364061.235]]"
q_032,DJI_202510311500_012_新建面状航线1,DJI_20251031150305_0003_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,30.386179612,114.446655035,391.449,372.266,60.80,-44.90,0.00,-18.20,3725.151611,2640.000,1978.000,5280,3956,254654.923,3364344.848,EPSG:32650,1156409.082,1.00,"[[255332.004, 3365639.788], [256112.492, 3364243.269], [254874.101, 3364188.07], [254636.193, 3364613.757]]"
q_033,DJI_202510311500_012_新建面状航线1,DJI_20251031150408_0019_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,30.390288596,114.455248499,391.472,372.258,-119.20,-45.10,180.00,-15.30,3725.151611,2640.000,1978.000,5280,3956,255491.159,3364781.804,EPSG:32650,1131833.414,1.00,"[[254822.892, 3363502.192], [254051.263, 3364882.859], [255273.354, 3364939.044], [255511.003, 3364513.822]]"
q_034,DJI_202510311500_012_新建面状航线1,DJI_20251031150550_0041_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150550_0041_V.JPG,30.384701468,114.445839106,391.494,372.293,61.40,-45.00,180.00,-17.40,3725.151611,2640.000,1978.000,5280,3956,254572.799,3364182.737,EPSG:32650,1144204.858,1.00,"[[255258.949, 3365462.96], [256020.461, 3364066.248], [254789.652, 3364023.436], [254556.323, 3364451.392]]"
q_035,DJI_202510311500_012_新建面状航线1,DJI_20251031150715_0056_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150715_0056_V.JPG,30.380752952,114.439844228,391.486,372.301,60.80,-45.00,0.00,-15.30,3725.151611,2640.000,1978.000,5280,3956,253986.668,3363757.986,EPSG:32650,1144254.033,1.00,"[[254659.388, 3365045.352], [255435.501, 3363656.661], [254205.182, 3363600.961], [253967.379, 3364026.459]]"
q_036,DJI_202510311500_012_新建面状航线1,DJI_20251031150818_0072_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150818_0072_V.JPG,30.384897220,114.448509942,391.495,372.264,-119.00,-45.10,180.00,-12.60,3725.151611,2640.000,1978.000,5280,3956,254830.010,3364198.650,EPSG:32650,1131869.900,1.00,"[[254157.27, 3362921.359], [253390.453, 3364304.733], [254612.752, 3364356.652], [254848.919, 3363930.596]]"
q_037,DJI_202510311500_012_新建面状航线1,DJI_20251031150832_0076_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150832_0076_V.JPG,30.385815506,114.450430653,391.478,372.271,-119.00,-45.00,180.00,-14.40,3725.151611,2640.000,1978.000,5280,3956,255016.922,3364296.300,EPSG:32650,1144069.633,1.00,"[[254339.768, 3363011.393], [253568.568, 3364402.673], [254798.976, 3364454.074], [255035.273, 3364027.782]]"
q_038,DJI_202510311500_012_新建面状航线1,DJI_20251031151024_0095_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151024_0095_V.JPG,30.385059527,114.451125064,391.477,372.281,-118.50,-44.90,0.00,-19.40,3725.151611,2640.000,1978.000,5280,3956,255081.781,3364210.982,EPSG:32650,1156502.276,1.00,"[[254388.903, 3362924.358], [253625.504, 3364330.365], [254864.527, 3364370.432], [255097.226, 3363941.853]]"
q_039,DJI_202510311500_012_新建面状航线1,DJI_20251031151141_0115_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151141_0115_V.JPG,30.379994776,114.440533162,391.479,372.277,61.30,-45.10,180.00,-16.20,3725.151611,2640.000,1978.000,5280,3956,254050.991,3363672.430,EPSG:32650,1131948.955,1.00,"[[254730.434, 3364946.226], [255490.024, 3363558.807], [254267.427, 3363513.287], [254033.486, 3363940.589]]"
q_040,DJI_202510311500_012_新建面状航线1,DJI_20251031151150_0117_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,30.379310374,114.439102747,391.453,372.260,61.60,-45.00,180.00,-18.60,3725.151611,2640.000,1978.000,5280,3956,253911.776,3363599.660,EPSG:32650,1144002.023,1.00,"[[254602.329, 3364877.368], [255358.894, 3363478.13], [254128.052, 3363439.618], [253896.239, 3363868.347]]"
