query_id,flight_id,image_name,query_image_path,query_x,query_y,query_crs,footprint_area_m2,truth_count_total,truth_count_200m,truth_count_300m,truth_count_500m,truth_count_700m
q_023,DJI_202510311435_011_新建面状航线1,DJI_20251031144132_0042_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,253560.557,3364605.060,EPSG:32650,1130392.698,243,109,59,32,43
q_024,DJI_202510311435_011_新建面状航线1,DJI_20251031144539_0092_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,254522.367,3364869.677,EPSG:32650,1130404.852,231,106,53,32,40
q_025,DJI_202510311435_011_新建面状航线1,DJI_20251031144721_0113_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,253698.578,3364320.835,EPSG:32650,1154992.995,246,106,59,37,44
q_026,DJI_202510311435_011_新建面状航线1,DJI_20251031144854_0137_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,254931.350,3364964.794,EPSG:32650,1142594.964,261,115,62,36,48
q_027,DJI_202510311435_011_新建面状航线1,DJI_20251031145237_0180_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,253863.984,3364169.476,EPSG:32650,1142558.110,242,105,57,38,42
q_028,DJI_202510311435_011_新建面状航线1,DJI_20251031145538_0218_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,254979.694,3364633.142,EPSG:32650,1154868.818,237,109,57,32,39
q_029,DJI_202510311435_011_新建面状航线1,DJI_20251031145828_0255_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,254528.567,3364278.835,EPSG:32650,1130368.390,213,102,54,29,28
q_030,DJI_202510311435_011_新建面状航线1,DJI_20251031145833_0257_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,254596.839,3364314.491,EPSG:32650,1142539.683,233,110,57,32,34
q_031,DJI_202510311500_012_新建面状航线1,DJI_20251031150301_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,254625.012,3364329.258,EPSG:32650,1131894.224,242,114,59,35,34
q_032,DJI_202510311500_012_新建面状航线1,DJI_20251031150305_0003_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,254654.923,3364344.848,EPSG:32650,1156409.082,251,110,59,34,48
q_033,DJI_202510311500_012_新建面状航线1,DJI_20251031150408_0019_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,255491.159,3364781.804,EPSG:32650,1131833.414,235,104,58,34,39
q_034,DJI_202510311500_012_新建面状航线1,DJI_20251031150550_0041_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150550_0041_V.JPG,254572.799,3364182.737,EPSG:32650,1144204.858,238,103,60,35,40
q_035,DJI_202510311500_012_新建面状航线1,DJI_20251031150715_0056_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150715_0056_V.JPG,253986.668,3363757.986,EPSG:32650,1144254.033,259,112,61,36,50
q_036,DJI_202510311500_012_新建面状航线1,DJI_20251031150818_0072_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150818_0072_V.JPG,254830.010,3364198.650,EPSG:32650,1131869.900,216,100,54,30,32
q_037,DJI_202510311500_012_新建面状航线1,DJI_20251031150832_0076_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150832_0076_V.JPG,255016.922,3364296.300,EPSG:32650,1144069.633,240,109,59,34,38
q_038,DJI_202510311500_012_新建面状航线1,DJI_20251031151024_0095_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151024_0095_V.JPG,255081.781,3364210.982,EPSG:32650,1156502.276,220,102,54,31,33
q_039,DJI_202510311500_012_新建面状航线1,DJI_20251031151141_0115_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151141_0115_V.JPG,254050.991,3363672.430,EPSG:32650,1131948.955,234,104,54,33,43
q_040,DJI_202510311500_012_新建面状航线1,DJI_20251031151150_0117_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,253911.776,3363599.660,EPSG:32650,1144002.023,239,103,60,36,40
